ID RMU,Nume,Domeniu fundamental,ID Domeniu fundamental,Ramura stiinta,ID Ramura stiinta,isLicenta,isMaster,isDoctorat,An
1,Matematică,Matematică şi ştiinţe ale naturii,16,Matematică,1,1,1,1,2020
2,Fizică,Matematică şi ştiinţe ale naturii,16,Fizică,2,1,1,1,2020
3,Chimie,Matematică şi ştiinţe ale naturii,16,Chimie şi inginerie chimică,3,1,1,1,2020
5,Biologie,Ştiinţe biologice şi biomedicale,17,Biologie,12,1,1,1,2020
6,Geografie,Matematică şi ştiinţe ale naturii,16,Ştiinţele pământului şi atmosferei,4,1,1,1,2020
7,Geologie,Matematică şi ştiinţe ale naturii,16,Ştiinţele pământului şi atmosferei,4,1,1,1,2020
8,Ştiinţa mediului,Matematică şi ştiinţe ale naturii,16,Ştiinţele pământului şi atmosferei,4,1,1,1,2020
9,Filosofie,Ştiinţe umaniste şi arte,19,Filosofie,27,1,1,1,2020
10,Limbă şi literatură,Ştiinţe umaniste şi arte,19,Filologie,26,1,0,0,2020
11,Limbi moderne aplicate,Ştiinţe umaniste şi arte,19,Filologie,26,1,0,0,2020
12,Istorie,Ştiinţe umaniste şi arte,19,Istorie,28,1,1,1,2020
13,Studii culturale,Ştiinţe umaniste şi arte,19,Studii culturale,30,1,1,1,2020
14,Teologie,Ştiinţe umaniste şi arte,19,Teologie,29,1,1,1,2020
15,Drept,Ştiinţe sociale,18,Ştiinţe juridice,18,1,1,1,2020
16,Sociologie,Ştiinţe sociale,18,Sociologie,21,1,1,1,2020
17,Asistenţă socială,Ştiinţe sociale,18,Sociologie,21,1,1,1,2020
18,Ştiinţe politice,Ştiinţe sociale,18,Ştiinţe politice,22,1,1,1,2020
19,Relaţii internaţionale şi studii europene,Ştiinţe sociale,18,Ştiinţe politice,22,1,1,1,2020
20,Ştiinţe administrative,Ştiinţe sociale,18,Ştiinţe administrative,19,1,1,1,2020
21,Ştiinţe ale comunicării,Ştiinţe sociale,18,Ştiinţe ale comunicării,20,1,1,1,2020
22,Ştiinţe ale educaţiei,Ştiinţe sociale,18,Psihologie şi ştiinţe comportamentale,25,1,1,1,2020
23,Psihologie,Ştiinţe sociale,18,Psihologie şi ştiinţe comportamentale,25,1,1,1,2020
24,Economie,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
25,Finanţe,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
26,Administrarea afacerilor,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
27,Contabilitate,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
28,"Cibernetică, statistică şi informatică economică",Ştiinţe sociale,18,Ştiinţe economice,24,1,0,0,2020
29,Economie şi afaceri internaţionale,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
30,Management,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
31,Marketing,Ştiinţe sociale,18,Ştiinţe economice,24,1,1,1,2020
32,Teatru şi artele spectacolului,Ştiinţe umaniste şi arte,19,Arte,32,1,1,1,2020
33,Cinematografie şi media,Ştiinţe umaniste şi arte,19,Arte,32,1,1,1,2020
34,Muzică,Ştiinţe umaniste şi arte,19,Arte,32,1,1,1,2020
35,Arte vizuale,Ştiinţe umaniste şi arte,19,Arte,32,1,1,1,2020
36,Arhitectură,Ştiinţe umaniste şi arte,19,Arhitectură şi urbanism,31,1,1,1,2020
37,Urbanism,Ştiinţe umaniste şi arte,19,Arhitectură şi urbanism,31,1,1,1,2020
38,Educaţie fizică şi sport,Ştiinţa Sportului şi Educaţiei Fizice,20,Ştiinţa Sportului şi Educaţiei Fizice,33,1,0,0,2020
39,Agronomie,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
40,Horticultură,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
41,Silvicultură,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
42,Zootehnie,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
43,Biotehnologii,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
44,Calculatoare şi tehnologia informaţiei,Ştiinţe inginereşti,12,"Ingineria sistemelor, calculatoare şi tehnologia informaţiei",10,1,1,1,2020
45,Inginerie genistică,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,0,0,2020
46,Inginerie geodezică,Ştiinţe inginereşti,12,"Inginerie geologică, mine, petrol şi gaze",7,1,1,1,2020
47,Inginerie aerospaţială,Ştiinţe inginereşti,12,Ingineria transporturilor,8,1,1,1,2020
48,Inginerie chimică,Matematică şi ştiinţe ale naturii,16,Chimie şi inginerie chimică,3,1,1,1,2020
49,Inginerie civilă,Ştiinţe inginereşti,12,Inginerie civilă,5,1,0,0,2020
50,Ingineria instalaţiilor,Ştiinţe inginereşti,12,Inginerie civilă,5,1,0,0,2020
51,"Inginerie de armament, rachete şi muniţii",Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,0,0,2020
