ID RMU,Nume,Universitate,ID Universitate,EsteScoalaDoctorala,An
1382,Facultatea de Științe Aplicate,"Universitatea ""Danubius"" din Galaţi",75,0,2020
1385,Facultatea de Economie și Administrarea Afacerilor,"Universitatea Creştină ""Dimitrie Cantemir"" din Bucureşti",57,0,2020
1391,Facultatea de Drept,Academia de Studii Economice din Bucureşti,7,0,2020
1379,"Școala doctorală Didactica. Tradiție, Dezvoltare, Inovație","Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,1,2020
1376,Şcoala Doctorală Interdisciplinară,Universitatea din Bucureşti,5,1,2020
1375,Școala Doctorală în Știința Sportului și Educației Fizice,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,1,2020
1372,Școala Doctorală Interdisciplinară,"Universitatea ""Aurel Vlaicu"" din Arad",14,1,2020
1369,Școala doctorală de Științe biomedicale,"Universitatea ""Dunărea de Jos"" din Galaţi",28,1,2020
1366,Facultatea de Informatică,"Universitatea ""Bioterra"" din Bucureşti",63,0,2020
1363,Facultatea de Medicină în Limba Engleză,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,0,2020
1359,Școala Doctorală Medicină Dentară,"Universitatea de Medicină şi Farmacie ""Victor Babeş"" din Timişoara",49,1,2020
1354,Școala Doctorală a Universității Tehnice din Cluj-Napoca,Universitatea Tehnică din Cluj-Napoca,18,1,2020
1353,Şcoala doctorală de matematică,"Universitatea ""Ovidius"" din Constanţa",24,1,2020
1348,Școala Doctorală de Geoștiințe,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,1,2020
1345,Școala Doctorală de Chimie,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,1,2020
1342,Școala Doctorală de Biologie,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,1,2020
1336,Școala doctorală Ingineria sistemelor de apărare și securitate,"Academia Tehnică Militară ""Ferdinand I"" din București",50,1,2020
1331,Facultatea de Comunicații și Sisteme Electronice pentru Apărare și Securitate,"Academia Tehnică Militară ""Ferdinand I"" din București",50,0,2020
1328,Facultatea de Sisteme Informatice și Securitate Cibernetică,"Academia Tehnică Militară ""Ferdinand I"" din București",50,0,2020
1325,"Facultatea de Sisteme Integrate de Armament, Geniu și Mecatronică","Academia Tehnică Militară ""Ferdinand I"" din București",50,0,2020
1322,Facultatea de Aeronave și Autovehicule Militare,"Academia Tehnică Militară ""Ferdinand I"" din București",50,0,2020
1319,Școala doctorală de Inginerie mecanică și industrială,"Universitatea ""Dunărea de Jos"" din Galaţi",28,1,2020
1316,Școala doctorală de Științe fundamentale și inginerești,"Universitatea ""Dunărea de Jos"" din Galaţi",28,1,2020
1313,"Școala doctorală Religie, Cultură, Societate","Universitatea ""Babeş-Bolyai"" din Cluj-Napoca",20,1,2020
1309,Departamentul de Formare Continuă și Transfer Tehnologic,"Universitatea ""Dunărea de Jos"" din Galaţi",28,0,2020
1308,"Departamentul pentru Educație Continuă, Învățământ la Distanță și cu Frecvență Redusă",Universitatea Tehnică din Cluj-Napoca,18,0,2020
1307,Facultatea de Sisteme de Securitate Aeriană,"Academia Forţelor Aeriene ""Henri Coandă"" din Braşov",54,0,2020
1304,Facultatea de Ştiinţe Economice şi Administrative,"Academia Forţelor Terestre ""Nicolae Bălcescu"" din Sibiu",56,0,2020
1301,Facultatea de Asistenţă Medicală Generală,"Universitatea ""Bioterra"" din Bucureşti",63,0,2020
1298,"Facultatea de Educaţie Fizică, Sport şi Kinetoterapie",Universitatea Româno-Americană din Bucureşti,60,0,2020
1295,Facultatea de Medicină Dentară,"Universitatea ""Dimitrie Cantemir"" din Târgu Mureş",81,0,2020
1292,Facultatea de Balneofiziokinetoterapie şi Recuperare Medicală,"Universitatea ""Dimitrie Cantemir"" din Târgu Mureş",81,0,2020
1289,Şcoala Normală Superioară - Bucureşti (S.N.S.B),Şcoala Normală Superioară - Bucureşti (S.N.S.B),506,0,2020
1283,"Facultatea de Ştiinţe ale Educaţiei, Drept şi Administraţie Publică","Universitatea ""Constantin Brâncuşi"" din Târgu Jiu",42,0,2020
1280,"Facultatea de Psihologie, Ştiinţele Educaţiei şi Asistenţă Socială","Universitatea ""Petre Andrei"" din Iaşi",87,0,2020
1274,Facultatea de Asistenţă Medicală - Târgu Jiu,"Universitatea ""Titu Maiorescu"" din Bucureşti",58,0,2020
1268,IOSUD – Şcoala doctorală de Medicină,"Universitatea ""Titu Maiorescu"" din Bucureşti",58,1,2020
1265,Drept,Academia de Studii Economice din Bucureşti,7,1,2020
1263,Facultatea de Inginerie și Informatică,"Universitatea ""Spiru Haret"" din Bucureşti",62,0,2020
1260,"Facultatea de Științe, Educație Fizică și Informatică",Universitatea din Piteşti,36,0,2020
1257,Facultatea de Științe Economice și Drept,Universitatea din Piteşti,36,0,2020
1254,"Facultatea de Științe ale Educației, Științe Sociale și Psihologie",Universitatea din Piteşti,36,0,2020
1251,"Facultatea de Teologie, Litere, Istorie și Arte",Universitatea din Piteşti,36,0,2020
1248,Facultatea de Drept și Științe Administrative,"Universitatea ""Ştefan cel Mare"" din Suceava",40,0,2020
1245,Facultatea de Jurnalism,"Universitatea ""Hyperion"" din Bucureşti",61,0,2020
1242,Facultatea de Psihologie și Științe ale Educației,"Universitatea ""Hyperion"" din Bucureşti",61,0,2020
1239,Facultatea de Litere și Arte,"Universitatea Creştină ""Partium"" din Oradea",86,0,2020
1236,Facultatea de Științe Economice și Sociale,"Universitatea Creştină ""Partium"" din Oradea",86,0,2020
1233,Economie I,Academia de Studii Economice din Bucureşti,7,1,2020
1230,Economie II,Academia de Studii Economice din Bucureşti,7,1,2020
1227,Şcoala Doctorală Urbanism,"Universitatea de Arhitectură şi Urbanism ""Ion Mincu"" din Bucureşti",3,1,2020
