ID RMU,Nume,Domeniu studiu,ID Domeniu studiu,Ramura stiinta,Domeniu fundamental,Ciclu de studii,ID Ciclu de studii,An
1,Matematică,Matematică,1,Matematică,Matematică şi ştiinţe ale naturii,Licență,1,2020
2,Matematici aplicate,Matematică,1,Matematică,Matematică şi ştiinţe ale naturii,Licență,1,2020
3,Matematică informatică,Matematică,1,Matematică,Matematică şi ştiinţe ale naturii,Licență,1,2020
4,Fizică,Fizică,2,Fizică,Matematică şi ştiinţe ale naturii,Licență,1,2020
5,Fizică medicală,Fizică,2,Fizică,Matematică şi ştiinţe ale naturii,Licență,1,2020
6,Biofizică,Fizică,2,Fizică,Matematică şi ştiinţe ale naturii,Licență,1,2020
7,Fizică informatică,Fizică,2,Fizică,Matematică şi ştiinţe ale naturii,Licență,1,2020
8,Chimie,Chimie,3,Chimie şi inginerie chimică,Matematică şi ştiinţe ale naturii,Licență,1,2020
9,Biochimie tehnologică,Chimie,3,Chimie şi inginerie chimică,Matematică şi ştiinţe ale naturii,Licență,1,2020
10,Radiochimie,Chimie,3,Chimie şi inginerie chimică,Matematică şi ştiinţe ale naturii,Licență,1,2020
11,Chimie informatică,Chimie,3,Chimie şi inginerie chimică,Matematică şi ştiinţe ale naturii,Licență,1,2020
14,Biologie,Biologie,5,Biologie,Ştiinţe biologice şi biomedicale,Licență,1,2020
15,Biochimie,Biologie (Biochimie),75,Biochimie,Ştiinţe biologice şi biomedicale,Licență,1,2020
16,Geografie,Geografie,6,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
17,Geografia turismului,Geografie,6,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
18,Cartografie,Geografie,6,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
19,Hidrologie şi meteorologie,Geografie,6,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
20,Planificare teritorială,Geografie,6,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
21,Geologie,Geologie,7,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
22,Geochimie,Geologie,7,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
23,Chimia mediului,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
24,Ecologie şi protecţia mediului,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
25,Geografia mediului,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
26,Fizica mediului,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
27,Ştiinţa mediului,Ştiinţa mediului,8,Ştiinţele pământului şi atmosferei,Matematică şi ştiinţe ale naturii,Licență,1,2020
28,Filosofie,Filosofie,9,Filosofie,Ştiinţe umaniste şi arte,Licență,1,2020
29,Limbă şi literatură română,Limbă şi literatură,10,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
30,Limbă şi literatură,Limbă şi literatură,10,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
31,Limbă şi literatură modernă,Limbă şi literatură,10,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
32,Literatură universală şi comparată,Limbă şi literatură,10,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
33,Filologie clasică,Limbă şi literatură,10,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
34,Traducere şi interpretare,Limbi moderne aplicate,11,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
35,Limbi moderne aplicate,Limbi moderne aplicate,11,Filologie,Ştiinţe umaniste şi arte,Licență,1,2020
36,Istorie,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Licență,1,2020
37,Arheologie,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Licență,1,2020
38,Arhivistică,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Licență,1,2020
39,Muzeologie,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Licență,1,2020
40,Istoria artei,Istorie,12,Istorie,Ştiinţe umaniste şi arte,Licență,1,2020
41,Etnologie,Studii culturale,13,Studii culturale,Ştiinţe umaniste şi arte,Licență,1,2020
42,Studii iudaice,Studii culturale,13,Studii culturale,Ştiinţe umaniste şi arte,Licență,1,2020
43,Studii americane,Studii culturale,13,Studii culturale,Ştiinţe umaniste şi arte,Licență,1,2020
44,Studii culturale,Studii culturale,13,Studii culturale,Ştiinţe umaniste şi arte,Licență,1,2020
45,Studii europene,Studii culturale,13,Studii culturale,Ştiinţe umaniste şi arte,Licență,1,2020
46,Teologie pastorală,Teologie,14,Teologie,Ştiinţe umaniste şi arte,Licență,1,2020
47,Teologie didactică,Teologie,14,Teologie,Ştiinţe umaniste şi arte,Licență,1,2020
48,Artă sacră,Arte vizuale,35,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
49,Teologie asistenţă socială,Teologie,14,Teologie,Ştiinţe umaniste şi arte,Licență,1,2020
50,Studii religioase,Teologie,14,Teologie,Ştiinţe umaniste şi arte,Licență,1,2020
