ID RMU,Universitate,ID Universitate,Facultate,ID Facultate,Tara,ID Tara,Localitate,ID Localitate,Domeniu studiu,ID Domeniu studiu,Specializare,ID Specializare,Tip acreditare,ID Tip acreditare,Forma invatamant,ID Forma invatamant,Ciclu de studiu,ID Ciclu de studiu,Limba predare,ID Limba predare,Durata studiu,Numar credite,An
15416,"Universitatea Creştină ""Partium"" din Oradea",86,Facultatea de Științe Economice și Sociale,1236,România,160,ORADEA,2094,Management,30,Managementul dezvoltării afacerilor,1601,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Maghiară,7,2,120,2020
15419,Universitatea Naţională de Arte din Bucureşti,9,Facultatea de Arte Plastice,73,România,160,BUCUREŞTI,13755,Arte vizuale,35,Sculptură,1662,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15422,Universitatea Naţională de Arte din Bucureşti,9,Facultatea de Arte Plastice,73,România,160,BUCUREŞTI,13755,Arte vizuale,35,Pictură,1661,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15425,"Universitatea Creştină ""Partium"" din Oradea",86,Facultatea de Litere și Arte,1239,România,160,ORADEA,2094,Filologie,99,Traducere şi interpretariat,1867,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Engleză/Germană/Maghiară,962,2,120,2020
15428,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,"Facultatea de Ştiinţe şi Litere ""Petru Maior""",332,România,160,TÎRGU MUREŞ,8767,Limbi moderne aplicate,11,Limbi moderne aplicate,35,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Engleză/Franceză/Germană/Italiană,965,3,180,2020
15431,"Universitatea ""Dimitrie Cantemir"" din Târgu Mureş",81,Facultatea de Medicină Dentară,1295,România,160,TÎRGU MUREŞ,8767,Sănătate (Medicină Dentară - Reglementată general),81,Asistenţă de profilaxie stomatologică,339,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15434,"Universitatea Creştină ""Partium"" din Oradea",86,Facultatea de Litere și Arte,1239,România,160,ORADEA,2094,Muzică,34,Interpretare muzicală - canto,107,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Maghiară,7,3,180,2020
15437,"Universitatea ""Danubius"" din Galaţi",75,Facultatea de Științe Aplicate,1382,România,160,GALAŢI,5952,Informatică,4,Informatică,12,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15440,"Universitatea ""Sapientia"" din Cluj-Napoca",95,Facultatea de Ştiinţe Tehnice şi Umaniste din Târgu Mureş,631,România,160,SFÎNTU GHEORGHE,5060,Silvicultură,41,Silvicultură,145,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,4,240,2020
15443,"Universitatea ""Sapientia"" din Cluj-Napoca",95,Facultatea de Ştiinţe şi Arte,628,România,160,BUCUREŞTI,13755,Teatru şi artele spectacolului,32,Artele spectacolului (coregrafie),466,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15446,"Universitatea de Vest ""Vasile Goldiş"" din Arad",70,Facultatea de Ştiinţe Juridice,473,România,160,ARAD,717,Ştiinţe administrative,20,Poliţie locală,64,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15449,"Universitatea ""Titu Maiorescu"" din Bucureşti",58,Facultatea de Ştiinţele Comunicării și Relații Internaționale,610,România,160,BUCUREŞTI,13755,Ştiinţe ale educaţiei,22,Pedagogia învăţământului primar şi preşcolar,72,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15452,"Universitatea Creştină ""Dimitrie Cantemir"" din Bucureşti",57,Facultatea de Management Turistic şi Comercial,382,România,160,BUCUREŞTI,13755,Administrarea afacerilor,26,Administrarea afacerilor,82,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15455,"Universitatea de Medicină şi Farmacie ""Victor Babeş"" din Timişoara",49,Facultatea de Farmacie,369,România,160,MUNICIPIUL TIMIŞOARA,17006,Sănătate (Farmacie - Reglementată general),82,Cosmetică medicală şi tehnologia produsului cosmetic,3080,AP,4,Învăţământ cu frecvenţă (IF),1,Licență,1,Română,8,3,180,2020
15458,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,Facultatea de Economie şi Drept,333,România,160,TÎRGU MUREŞ,8767,Management,30,Management,96,AP,4,Învăţământ la distanţă (ID),4,Licență,1,Română,8,3,180,2020
15461,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,Facultatea de Economie şi Drept,333,România,160,TÎRGU MUREŞ,8767,Drept,15,Drept,51,AP,4,Învăţământ la distanţă (ID),4,Licență,1,Română,8,4,240,2020
15464,"Universitatea de Medicină, Farmacie, Științe și Tehnologie ""George Emil Palade"" din Târgu Mureș",44,Facultatea de Economie şi Drept,333,România,160,TÎRGU MUREŞ,8767,Contabilitate,27,Contabilitate şi informatică de gestiune,89,AP,4,Învăţământ la distanţă (ID),4,Licență,1,Română,8,3,180,2020
