ID RMU,Nume,Cod Universitate,Judet,ID Judet,Localitate,ID Localitate,An,Adresa web
1,Universitatea Politehnica din Bucureşti,U01,Bucureşti,4,BUCUREŞTI,13755,2020,https://upb.ro/
2,Universitatea Tehnică de Construcţii din Bucureşti,U02,Bucureşti,4,BUCUREŞTI,13755,2020,https://utcb.ro/
3,"Universitatea de Arhitectură şi Urbanism ""Ion Mincu"" din Bucureşti",U03,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.uauim.ro/
4,Universitatea de Științe Agronomice și Medicină Veterinară din București,U04,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.usamv.ro/index.php/ro/
5,Universitatea din Bucureşti,U05,Bucureşti,4,BUCUREŞTI,13755,2020,https://unibuc.ro/
6,"Universitatea de Medicină şi Farmacie ""Carol Davila"" din Bucureşti",U06,Bucureşti,4,BUCUREŞTI,13755,2020,https://umfcd.ro/
7,Academia de Studii Economice din Bucureşti,U07,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.ase.ro/
8,Universitatea Naţională de Muzică din Bucureşti,U08,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.unmb.ro/
9,Universitatea Naţională de Arte din Bucureşti,U09,Bucureşti,4,BUCUREŞTI,13755,2020,http://unarte.org/
10,"Universitatea Naţională de Artă Teatrală şi Cinematografică ""I. L. Caragiale"" din Bucureşti",U10,Bucureşti,4,BUCUREŞTI,13755,2020,https://www.unatc.ro/prezentare/index.php
11,Universitatea Naţională de Educaţie Fizică şi Sport din Bucureşti,U11,Bucureşti,4,BUCUREŞTI,13755,2020,https://unefsb.ro/
12,Şcoala Naţională de Studii Politice şi Administrative din Bucureşti,U12,Bucureşti,4,BUCUREŞTI,13755,2020,http://snspa.ro/
13,"Universitatea ""1 decembrie 1918"" din Alba Iulia",U13,Alba,1,ALBA IULIA,1,2020,http://www.uab.ro/
14,"Universitatea ""Aurel Vlaicu"" din Arad",U14,Arad,3,ARAD,717,2020,https://www.uav.ro/
15,"Universitatea ""Vasile Alecsandri"" din Bacău",U15,Bacău,13,BACĂU,1585,2020,https://www.ub.ro/
17,"Universitatea ""Transilvania"" din Braşov",U17,Braşov,18,BRAŞOV,3143,2020,https://www.unitbv.ro/
18,Universitatea Tehnică din Cluj-Napoca,U18,Cluj,20,CLUJ-NAPOCA,4413,2020,https://www.utcluj.ro/
19,Universitatea de Ştiinţe Agricole şi Medicină Veterinară din Cluj-Napoca,U19,Cluj,20,CLUJ-NAPOCA,4413,2020,https://www.usamvcluj.ro/
